Milliseconds,PackVoltx100,Ampsx100,RPM
99700,1224,390,5512
99800,1224,390,5662
99900,1224,390,5530
100000,1224,381,5668
100100,1224,390,5675
100200,1224,390,5636
100300,1224,381,5701
100400,1224,390,5681
100500,1224,390,5675
100600,1224,381,5422
100700,1224,390,5649
100800,1222,390,5662
100900,1224,390,5422
101000,1222,390,5617
101100,1224,390,5681
101200,1222,381,5662
101300,1224,390,5688
101400,1224,390,5694
101500,1224,400,5482
101600,1224,390,5464
101700,1224,390,5530
101800,1224,390,5643
101900,1222,372,5675
102000,1222,381,5482
102100,1224,390,5494
102200,1224,390,5464
102300,1224,381,5668
102400,1224,390,5681
102500,1222,390,5411
102600,1222,390,5694
102700,1222,381,5668
102800,1222,390,5681
102900,1224,390,5668
103000,1222,390,5458
103100,1222,390,5675
103200,1222,381,5470
103300,1222,372,5668
103400,1224,390,5630
103500,1222,381,5668
103600,1222,390,5624
103700,1222,390,5668
103800,1222,381,5411
103900,1222,390,5387
104000,1222,400,5387
104100,1224,400,5656
104200,1222,400,5668
104300,1224,381,5952
104400,1224,390,5662
104500,1224,381,5668
104600,1222,390,5675
104700,1222,390,5656
104800,1224,390,5675
104900,1222,390,5662
105000,1222,390,5636
105100,1222,390,5411
105200,1222,390,5417
105300,1222,381,5668
105400,1222,390,5630
105500,1222,390,5537
105600,1222,381,5668
105700,1224,390,5636
105800,1222,390,5675
105900,1224,390,5681
106000,1222,390,5675
106100,1222,390,5567
106200,1224,390,5701
106300,1222,390,5530
106400,1222,390,5688
106500,1222,381,5434
106600,1222,381,5428
106700,1222,390,5561
106800,1222,400,5688
106900,1222,381,5707
107000,1222,381,5417
107100,1222,390,5681
107200,1222,381,5675
107300,1222,427,5841
107400,1222,437,6067
107500,1220,427,5733
107600,1220,427,5747
107700,1222,427,5834
107800,1220,418,5767
107900,1220,437,5662
108000,1220,427,6053
108100,1222,427,5827
108200,1220,418,5753
108300,1222,427,5959
108400,1220,427,5917
108500,1220,427,5740
108600,1222,427,5767
108700,1220,427,5807
108800,1220,427,6031
108900,1220,427,5707
109000,1220,427,6053
109100,1220,427,5773
109200,1220,427,5896
109300,1220,427,5649
109400,1220,427,5780
109500,1220,427,5773
109600,1220,427,6075
109700,1220,427,5733
109800,1220,437,5767
109900,1220,427,5917
110000,1220,418,5780
110100,1220,418,5773
110200,1220,418,5841
110300,1220,418,5875
110400,1222,427,5767
110500,1220,427,5945
110600,1220,418,5882
110700,1220,427,5733
110800,1220,418,5959
110900,1220,427,5800
111000,1220,427,6053
111100,1220,427,5787
111200,1220,427,5694
111300,1220,427,5767
111400,1220,427,5813
111500,1220,427,5917
111600,1220,427,5773
111700,1220,418,5988
111800,1220,418,5747
111900,1220,427,5733
112000,1220,427,5917
112100,1220,427,5740
112200,1220,427,5800
112300,1220,427,5787
112400,1220,427,5952
112500,1220,427,5800
112600,1220,427,5793
112700,1220,427,5938
112800,1220,427,5727
112900,1220,427,5847
113000,1220,437,5959
113100,1220,427,5861
113200,1220,427,5714
113300,1220,427,5910
113400,1220,427,5834
113500,1220,437,5882
113600,1220,427,5753
113700,1220,437,5780
113800,1220,427,5753
113900,1220,418,5760
114000,1220,418,5524
114100,1220,427,5773
114200,1220,427,6031
114300,1220,427,5847
114400,1220,427,5733
114500,1220,427,5760
114600,1220,427,5841
114700,1220,427,5767
